Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Sacramento Republic,1.15,2.27,-1.12,1.02,2.19,-1.17,0.13,0.08,0.05,1.15,2.27,-1.12,2,0,2,3.12,40.0,49.1,48.72,0.34,1.03,152,11,11,14,32.35,13.59,10.05,7,7,11,3,22,92.9,49.52,98.4,86.93,181.57,82.57,1,Sacramento Republic 2-0 Phoenix Rising,2026-04-04
New Mexico United,0.91,1.84,-0.93,0.14,1.71,-1.57,0.01,0.13,-0.12,0.15,1.84,-1.69,1,0,1,1.93,40.6,31.63,41.06,0.2,1.23,126,6,5,14,25.0,11.38,15.33,2,4,8,4,17,42.9,18.61,67.53,53.85,55.47,28.6,0,Orange County SC 0-1 New Mexico United,2026-04-04
Orange County SC,1.84,0.91,0.93,1.71,0.14,1.57,0.13,0.01,0.12,1.84,0.15,1.69,0,1,-1,-1.93,59.4,68.37,52.17,1.23,0.2,291,20,14,5,11.38,25.0,11.39,4,2,38,6,11,187.6,81.39,57.87,46.15,138.5,71.4,0,Orange County SC 0-1 New Mexico United,2026-04-04
San Antonio,1.03,0.98,0.05,0.94,0.93,0.01,0.09,0.05,0.04,1.03,0.98,0.05,0,0,0,-0.05,64.5,49.12,42.88,0.49,0.33,204,12,9,9,18.37,27.27,6.97,1,7,14,3,12,65.9,52.14,10.2,6.7,26.13,14.62,1,Monterey Bay 0-0 San Antonio,2026-04-04
Monterey Bay,0.98,1.03,-0.05,0.93,0.94,-0.01,0.05,0.09,-0.04,0.98,1.03,-0.05,0,0,0,0.05,35.5,50.88,50.46,0.33,0.49,159,12,9,9,27.27,18.37,13.54,7,1,24,8,19,60.5,47.86,142.07,93.3,152.6,85.38,2,Monterey Bay 0-0 San Antonio,2026-04-04
Las Vegas Lights,1.33,1.74,-0.41,0.63,1.74,-1.11,0.7,0.0,0.7,1.33,1.74,-0.41,2,3,-1,-0.59,57.7,56.94,44.58,0.57,0.88,217,11,8,9,14.04,10.23,7.43,8,4,19,8,15,89.4,59.64,26.47,24.06,53.63,31.57,0,El Paso Locomotive 3-2 Las Vegas Lights,2026-04-04
El Paso Locomotive,1.74,1.33,0.41,1.74,0.63,1.11,0.0,0.7,-0.7,1.74,1.33,0.41,3,2,1,0.59,42.3,43.06,44.32,0.88,0.57,149,13,9,8,10.23,14.04,11.02,4,8,9,1,15,60.5,40.36,83.53,75.94,116.23,68.43,0,El Paso Locomotive 3-2 Las Vegas Lights,2026-04-04
Tampa Bay Rowdies,2.46,1.07,1.39,2.25,1.07,1.18,0.2,0.0,0.2,2.46,1.07,1.39,1,0,1,-0.39,69.4,71.94,49.17,1.31,0.54,310,18,18,8,13.74,14.81,9.12,3,2,31,7,12,178.2,90.83,0.87,0.57,87.9,52.97,4,Sporting JAX 0-1 Tampa Bay Rowdies,2026-04-04
Sporting JAX,1.07,2.46,-1.39,1.07,2.25,-1.18,0.0,0.2,-0.2,1.07,2.46,-1.39,0,1,-1,0.39,30.6,28.06,43.38,0.54,1.31,100,6,8,18,14.81,13.74,16.0,2,3,7,0,9,18.0,9.17,151.8,99.43,78.03,47.03,1,Sporting JAX 0-1 Tampa Bay Rowdies,2026-04-04
Pittsburgh Riverhounds,1.79,2.43,-0.64,1.57,1.64,-0.07,0.22,0.03,0.19,1.79,1.67,0.12,1,1,0,0.64,64.8,62.69,48.92,0.47,1.17,272,13,14,11,29.79,9.4,7.33,5,10,23,6,13,134.6,78.03,6.27,4.97,82.87,41.32,1,Indy Eleven 1-1 Pittsburgh Riverhounds,2026-04-04
Indy Eleven,2.43,1.79,0.64,1.64,1.57,0.07,0.03,0.22,-0.19,1.67,1.79,-0.12,1,1,0,-0.64,35.2,37.31,43.58,1.17,0.47,114,6,11,14,9.4,29.79,11.68,10,5,16,2,18,37.9,21.97,119.8,95.03,117.7,58.68,2,Indy Eleven 1-1 Pittsburgh Riverhounds,2026-04-04
Birmingham Legion,1.65,1.42,0.23,1.65,0.29,1.36,0.0,0.38,-0.38,1.65,0.66,0.99,2,2,0,-0.23,50.9,57.52,47.76,1.11,1.06,209,15,9,10,8.11,9.43,11.97,6,8,8,4,14,127.5,63.4,48.07,45.72,118.73,69.82,0,Loudoun United 2-2 Birmingham Legion,2026-04-04
Loudoun United,1.42,1.65,-0.23,0.29,1.65,-1.36,0.38,0.0,0.38,0.66,1.65,-0.99,2,2,0,0.23,49.1,42.48,46.56,1.06,1.11,194,13,10,9,9.43,8.11,8.33,8,6,14,4,17,73.6,36.6,57.07,54.28,51.33,30.18,0,Loudoun United 2-2 Birmingham Legion,2026-04-04
Lexington,1.68,1.72,-0.04,1.4,0.5,0.9,0.28,0.46,-0.18,1.68,0.96,0.72,1,1,0,0.04,44.9,35.21,37.88,0.26,0.32,105,5,8,14,30.77,43.75,11.31,1,8,9,4,16,24.6,20.11,47.13,49.4,34.23,29.08,3,Colorado Springs 1-1 Lexington,2026-04-04
Colorado Springs,1.72,1.68,0.04,0.5,1.4,-0.9,0.46,0.28,0.18,0.96,1.68,-0.72,1,1,0,-0.04,55.1,64.79,46.92,0.32,0.26,188,12,14,8,43.75,30.77,7.78,8,1,22,9,10,97.7,79.89,48.27,50.6,83.47,70.92,6,Colorado Springs 1-1 Lexington,2026-04-04
Detroit City,0.55,1.12,-0.57,0.55,1.08,-0.53,0.0,0.04,-0.04,0.55,1.12,-0.57,0,0,0,0.57,47.9,46.46,41.14,0.47,0.42,136,6,4,14,8.51,33.33,12.03,3,5,10,2,13,33.9,28.42,35.53,45.48,41.43,29.29,1,Rhode Island 0-0 Detroit City,2026-04-04
Rhode Island,1.12,0.55,0.57,1.08,0.55,0.53,0.04,0.0,0.04,1.12,0.55,0.57,0,0,0,-0.57,52.1,53.54,46.87,0.42,0.47,191,7,14,4,33.33,8.51,8.21,5,3,19,3,15,85.4,71.58,42.6,54.52,100.0,70.71,2,Rhode Island 0-0 Detroit City,2026-04-04
Hartford Athletic,1.53,0.76,0.77,0.82,0.64,0.18,0.72,0.12,0.6,1.53,0.76,0.77,0,0,0,-0.77,44.9,54.94,46.17,0.77,0.46,176,20,12,9,15.58,19.57,12.7,7,0,24,9,7,73.4,53.34,81.2,77.78,118.8,69.72,4,Miami 0-0 Hartford Athletic,2026-04-04
Miami,0.76,1.53,-0.77,0.64,0.82,-0.18,0.12,0.72,-0.6,0.76,1.53,-0.77,0,0,0,0.77,55.1,45.06,43.38,0.46,0.77,182,8,9,12,19.57,15.58,10.63,0,7,13,3,19,64.2,46.66,23.2,22.22,51.6,30.28,1,Miami 0-0 Hartford Athletic,2026-04-04
Charleston Battery,0.49,2.17,-1.68,0.24,0.27,-0.03,0.25,1.9,-1.65,0.49,2.17,-1.68,2,0,2,3.68,41.2,28.73,43.74,0.45,0.78,135,8,3,10,6.67,12.82,13.81,0,6,7,1,18,12.6,7.23,76.6,70.32,54.93,40.78,0,Louisville City 0-2 Charleston Battery,2026-04-04
Louisville City,2.17,0.49,1.68,0.27,0.24,0.03,1.9,0.25,1.65,2.17,0.49,1.68,0,2,-2,-3.68,58.8,71.27,51.53,0.78,0.45,280,16,10,3,12.82,6.67,7.28,6,0,35,11,12,161.6,92.77,32.33,29.68,79.77,59.22,0,Louisville City 0-2 Charleston Battery,2026-04-04
Lexington,1.83,1.09,0.74,1.45,0.97,0.48,0.38,0.12,0.26,1.83,1.09,0.74,0,2,-2,-2.74,52.6,52.34,43.05,1.26,0.71,169,16,12,11,9.52,15.49,10.52,4,7,26,9,12,111.1,57.74,60.13,53.28,99.87,49.93,3,San Antonio 2-0 Lexington,2026-03-29
San Antonio,1.09,1.83,-0.74,0.97,1.45,-0.48,0.12,0.38,-0.26,1.09,1.83,-0.74,2,0,2,2.74,47.4,47.66,42.77,0.71,1.26,140,13,11,12,15.49,9.52,9.47,7,4,14,3,14,81.3,42.26,52.73,46.72,100.17,50.07,1,San Antonio 2-0 Lexington,2026-03-29
