Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Washington Spirit,3.1,2.2,0.9,2.34,1.72,0.62,0.76,0.48,0.28,3.1,2.2,0.9,1,1,0,-0.9,50.5,49.81,46.57,0.89,0.89,164,11,16,18,17.98,20.22,9.62,5,11,17,7,10,83.1,51.78,37.8,54.89,96.0,63.76,0,Washington Spirit 1-1 Utah Royals,2026-03-25
Denver Summit,1.66,1.4,0.26,1.53,1.3,0.23,0.13,0.1,0.03,1.66,1.4,0.26,2,0,2,1.74,49.8,40.08,39.14,0.25,0.98,136,8,8,11,32.0,11.22,13.36,6,9,12,4,11,65.5,35.52,38.67,36.97,60.07,33.43,1,Gotham FC 0-2 Denver Summit,2026-03-25
Gotham FC,1.4,1.66,-0.26,1.3,1.53,-0.23,0.1,0.13,-0.03,1.4,1.66,-0.26,0,2,-2,-1.74,50.2,59.92,45.59,0.98,0.25,205,15,11,8,11.22,32.0,11.0,9,6,22,6,12,118.9,64.48,65.93,63.03,119.63,66.57,1,Gotham FC 0-2 Denver Summit,2026-03-25
San Diego Wave,1.54,0.59,0.95,1.45,0.55,0.9,0.09,0.03,0.06,1.54,0.59,0.95,2,1,1,0.05,47.1,46.36,45.33,0.67,0.48,172,17,15,7,22.39,14.58,9.13,8,8,10,6,6,126.4,60.28,56.47,60.46,142.07,74.7,0,Utah Royals 1-2 San Diego Wave,2026-03-22
Utah Royals,0.59,1.54,-0.95,0.55,1.45,-0.9,0.03,0.09,-0.06,0.59,1.54,-0.95,1,2,-1,-0.05,52.9,53.64,46.24,0.48,0.67,199,8,7,15,14.58,22.39,8.32,8,8,21,4,15,83.3,39.72,36.93,39.54,48.13,25.3,1,Utah Royals 1-2 San Diego Wave,2026-03-22
Kansas City Current,1.66,1.12,0.54,1.66,0.74,0.92,0.0,0.38,-0.38,1.66,1.12,0.54,1,2,-1,-1.54,50.1,56.55,51.26,1.18,0.47,217,11,10,4,8.47,8.51,8.31,9,2,21,3,8,119.3,59.29,53.67,66.14,124.03,57.55,0,Chicago Stars 2-1 Kansas City Current,2026-03-22
Chicago Stars,1.12,1.66,-0.54,0.74,1.66,-0.92,0.38,0.0,0.38,1.12,1.66,-0.54,2,1,1,1.54,49.9,43.45,47.04,0.47,1.18,167,6,4,10,8.51,8.47,10.4,2,9,18,5,13,81.9,40.71,27.47,33.86,91.47,42.45,3,Chicago Stars 2-1 Kansas City Current,2026-03-22
Angel City,3.35,0.56,2.79,2.79,0.37,2.42,0.56,0.19,0.37,3.35,0.56,2.79,3,1,2,-0.79,51.5,50.38,44.88,0.62,0.22,153,10,15,13,24.19,59.09,5.28,5,2,20,12,22,92.6,57.34,43.33,44.52,104.67,69.13,3,Bay FC 1-3 Angel City,2026-03-21
Bay FC,0.56,3.35,-2.79,0.37,2.79,-2.42,0.19,0.56,-0.37,0.56,3.35,-2.79,1,3,-2,0.79,48.5,49.62,45.69,0.22,0.62,145,6,13,15,59.09,24.19,6.33,2,5,12,7,16,68.9,42.66,54.0,55.48,46.73,30.87,2,Bay FC 1-3 Angel City,2026-03-21
North Carolina Courage,1.26,0.94,0.32,0.98,0.84,0.14,0.27,0.1,0.17,1.26,0.94,0.32,0,0,0,-0.32,41.3,37.62,42.6,0.66,1.02,135,10,13,10,19.7,9.8,18.44,4,8,11,2,10,56.5,37.87,129.13,96.42,126.17,76.84,0,Gotham FC 0-0 North Carolina Courage,2026-03-21
Gotham FC,0.94,1.26,-0.32,0.84,0.98,-0.14,0.1,0.27,-0.17,0.94,1.26,-0.32,0,0,0,0.32,58.7,62.38,45.86,1.02,0.66,259,12,10,13,9.8,19.7,9.77,8,4,12,4,10,92.7,62.13,4.8,3.58,38.03,23.16,0,Gotham FC 0-0 North Carolina Courage,2026-03-21
Boston Legacy,0.65,2.83,-2.18,0.57,1.66,-1.09,0.08,0.4,-0.32,0.65,2.07,-1.42,0,3,-3,-0.82,58.9,48.87,42.6,0.41,0.9,167,5,11,16,26.83,17.78,7.11,6,12,17,5,17,66.1,44.36,10.13,10.87,43.62,18.87,0,Houston Dash 3-0 Boston Legacy,2026-03-21
Houston Dash,2.83,0.65,2.18,1.66,0.57,1.09,0.4,0.08,0.32,2.07,0.65,1.42,3,0,3,0.82,41.1,51.13,47.63,0.9,0.41,145,15,16,11,17.78,26.83,8.38,12,6,8,3,16,82.9,55.64,83.07,89.13,187.58,81.13,1,Houston Dash 3-0 Boston Legacy,2026-03-21
Seattle Reign,1.28,1.05,0.23,1.25,0.4,0.85,0.03,0.65,-0.62,1.28,1.05,0.23,0,2,-2,-2.23,62.2,78.07,54.71,0.74,0.23,311,17,17,8,22.97,34.78,9.47,8,2,49,8,13,197.4,85.79,55.0,43.49,154.5,85.16,1,Portland Thorns 2-0 Seattle Reign,2026-03-20
Portland Thorns,1.05,1.28,-0.23,0.4,1.25,-0.85,0.65,0.03,0.62,1.05,1.28,-0.23,2,0,2,2.23,37.8,21.93,35.64,0.23,0.74,78,4,8,17,34.78,22.97,26.21,2,8,7,4,7,32.7,14.21,71.47,56.51,26.93,14.84,0,Portland Thorns 2-0 Seattle Reign,2026-03-20
Denver Summit,0.96,2.64,-1.68,0.65,2.62,-1.97,0.31,0.02,0.29,0.96,2.64,-1.68,1,1,0,1.68,49.2,42.25,44.1,0.43,1.89,154,7,8,23,18.6,12.17,11.6,4,9,13,4,12,58.6,26.44,30.93,57.14,60.1,31.41,0,Orlando Pride 1-1 Denver Summit,2026-03-20
Orlando Pride,2.64,0.96,1.68,2.62,0.65,1.97,0.02,0.31,-0.29,2.64,0.96,1.68,1,1,0,-1.68,50.8,57.75,49.3,1.89,0.43,199,18,23,8,12.17,18.6,9.23,9,4,37,12,12,163.0,73.56,23.2,42.86,131.27,68.59,0,Orlando Pride 1-1 Denver Summit,2026-03-20
Washington Spirit,2.51,1.23,1.28,2.45,0.77,1.68,0.06,0.46,-0.4,2.51,1.23,1.28,2,2,0,-1.28,71.5,76.67,54.68,1.86,0.47,380,37,20,8,10.75,17.02,6.58,10,8,22,5,7,309.3,92.8,15.0,11.59,231.53,81.55,0,Racing Louisville 2-2 Washington Spirit,2026-03-20
Racing Louisville,1.23,2.51,-1.28,0.77,2.45,-1.68,0.46,0.06,0.4,1.23,2.51,-1.28,2,2,0,1.28,28.5,23.33,42.07,0.47,1.86,98,7,8,20,17.02,10.75,12.74,8,10,10,3,13,24.0,7.2,114.47,88.41,52.37,18.45,0,Racing Louisville 2-2 Washington Spirit,2026-03-20
Chicago Stars,0.55,2.08,-1.53,0.41,1.89,-1.48,0.15,0.2,-0.05,0.55,2.08,-1.53,0,4,-4,-2.47,40.8,26.82,40.86,0.33,0.54,100,4,6,18,18.18,33.33,13.23,1,6,11,3,13,29.9,16.23,62.4,66.72,27.0,11.67,4,Angel City 4-0 Chicago Stars,2026-03-15
Angel City,2.08,0.55,1.53,1.89,0.41,1.48,0.2,0.15,0.05,2.08,0.55,1.53,4,0,4,2.47,59.2,73.18,51.75,0.54,0.33,231,17,18,6,33.33,18.18,7.66,6,1,23,10,8,154.3,83.77,31.13,33.28,204.4,88.33,5,Angel City 4-0 Chicago Stars,2026-03-15
Seattle Reign,1.02,2.34,-1.32,0.86,2.25,-1.39,0.16,0.09,0.07,1.02,2.34,-1.32,2,1,1,2.32,52.5,56.49,42.65,0.53,1.01,165,10,13,23,24.53,22.77,7.83,10,9,10,2,12,67.2,41.33,15.33,23.88,60.3,37.12,0,Orlando Pride 1-2 Seattle Reign,2026-03-15
Orlando Pride,2.34,1.02,1.32,2.25,0.86,1.39,0.09,0.16,-0.07,2.34,1.02,1.32,1,2,-1,-2.32,47.5,43.51,44.91,1.01,0.53,159,14,23,13,22.77,24.53,8.79,9,10,13,5,12,95.4,58.67,48.87,76.12,102.13,62.88,0,Orlando Pride 1-2 Seattle Reign,2026-03-15
Houston Dash,1.41,2.54,-1.13,1.41,2.13,-0.72,0.0,0.41,-0.41,1.41,2.54,-1.13,1,0,1,2.13,29.6,20.48,42.14,0.4,1.35,100,6,5,19,12.5,14.07,18.75,1,5,9,2,10,28.0,8.52,114.87,91.31,43.7,21.2,0,San Diego Wave 0-1 Houston Dash,2026-03-14
San Diego Wave,2.54,1.41,1.13,2.13,1.41,0.72,0.41,0.0,0.41,2.54,1.41,1.13,0,1,-1,-2.13,70.4,79.52,53.32,1.35,0.4,371,25,19,5,14.07,12.5,10.7,5,1,18,14,11,300.5,91.48,10.93,8.69,162.47,78.8,0,San Diego Wave 0-1 Houston Dash,2026-03-14
Racing Louisville,2.21,0.84,1.37,1.9,0.8,1.1,0.31,0.04,0.27,2.21,0.84,1.37,1,2,-1,-2.37,40.2,51.85,50.24,0.84,0.92,162,14,17,15,20.24,16.3,12.67,9,4,23,6,8,68.2,42.36,105.87,90.84,132.97,64.29,2,North Carolina Courage 2-1 Racing Louisville,2026-03-14
North Carolina Courage,0.84,2.21,-1.37,0.8,1.9,-1.1,0.04,0.31,-0.27,0.84,2.21,-1.37,2,1,1,2.37,59.8,48.15,43.91,0.92,0.84,191,18,15,17,16.3,20.24,9.67,4,9,15,5,9,92.8,57.64,10.67,9.16,73.87,35.71,0,North Carolina Courage 2-1 Racing Louisville,2026-03-14
